time,machine_id,cpu_util
2017-11-27 00:00:00 PST,m29,31.175
2017-11-27 00:01:00 PST,m29,31.97
2017-11-27 00:02:00 PST,m29,31.711666667
2017-11-27 00:03:00 PST,m29,31.8
2017-11-27 00:04:00 PST,m29,31.845
2017-11-27 00:05:00 PST,m29,31.993333333
2017-11-27 00:06:00 PST,m29,31.16
2017-11-27 00:07:00 PST,m29,30.073333333
2017-11-27 00:08:00 PST,m29,31.2
2017-11-27 00:09:00 PST,m29,31.153333333
2017-11-27 00:10:00 PST,m29,30.8
2017-11-27 00:11:00 PST,m29,30.76
2017-11-27 00:12:00 PST,m29,30.4
2017-11-27 00:13:00 PST,m29,30.4
2017-11-27 00:14:00 PST,m29,30.458333333
2017-11-27 00:15:00 PST,m29,31.095
2017-11-27 00:16:00 PST,m29,31.0
2017-11-27 00:17:00 PST,m29,31.0
2017-11-27 00:18:00 PST,m29,31.0
2017-11-27 00:19:00 PST,m29,30.935
2017-11-27 00:20:00 PST,m29,29.746666667
2017-11-27 00:21:00 PST,m29,30.44
2017-11-27 00:22:00 PST,m29,30.89
2017-11-27 00:23:00 PST,m29,29.9
2017-11-27 00:24:00 PST,m29,29.926666667
2017-11-27 00:25:00 PST,m29,30.125
2017-11-27 00:26:00 PST,m29,30.4
2017-11-27 00:27:00 PST,m29,30.426666667
2017-11-27 00:28:00 PST,m29,30.805
2017-11-27 00:29:00 PST,m29,30.906666667
2017-11-27 00:30:00 PST,m29,31.0
2017-11-27 00:31:00 PST,m29,30.98
2017-11-27 00:32:00 PST,m29,28.62
2017-11-27 00:33:00 PST,m29,3.7
2017-11-27 00:34:00 PST,m29,3.7133333333
2017-11-27 00:35:00 PST,m29,6.845
2017-11-27 00:36:00 PST,m29,30.073333333
2017-11-27 00:37:00 PST,m29,31.2
2017-11-27 00:38:00 PST,m29,31.275
2017-11-27 00:39:00 PST,m29,31.548333333
2017-11-27 00:40:00 PST,m29,30.481666667
2017-11-27 00:41:00 PST,m29,31.1
2017-11-27 00:42:00 PST,m29,31.14
2017-11-27 00:43:00 PST,m29,31.526666667
2017-11-27 00:44:00 PST,m29,31.7
2017-11-27 00:45:00 PST,m29,31.708333333
2017-11-27 00:46:00 PST,m29,31.8
2017-11-27 00:47:00 PST,m29,31.733333333
2017-11-27 00:48:00 PST,m29,31.533333333
2017-11-27 00:49:00 PST,m29,32.7
2017-11-27 00:50:00 PST,m29,32.723333333
2017-11-27 00:51:00 PST,m29,32.76
2017-11-27 00:52:00 PST,m29,32.54
2017-11-27 00:53:00 PST,m29,32.2
2017-11-27 00:54:00 PST,m29,32.2
2017-11-27 00:55:00 PST,m29,32.2
2017-11-27 00:56:00 PST,m29,32.176666667
2017-11-27 00:57:00 PST,m29,32.0
2017-11-27 00:58:00 PST,m29,31.955
2017-11-27 00:59:00 PST,m29,31.82
2017-11-27 01:00:00 PST,m29,32.5
2017-11-27 01:01:00 PST,m29,32.5
2017-11-27 01:02:00 PST,m29,32.426666667
2017-11-27 01:03:00 PST,m29,31.9
2017-11-27 01:04:00 PST,m29,31.18
2017-11-27 01:05:00 PST,m29,32.383333333
2017-11-27 01:06:00 PST,m29,32.76
2017-11-27 01:07:00 PST,m29,32.6
2017-11-27 01:08:00 PST,m29,32.643333333
2017-11-27 01:09:00 PST,m29,32.65
